PC=00000000, REG[ 3]=00000001
PC=00000004, REG[ 4]=00000001
PC=00000008, REG[ 3]=00000002
PC=0000000c, REG[ 4]=00000002
PC=00000010, REG[ 3]=00000001
PC=00000014, REG[ 4]=00000001
PC=00000018, REG[ 3]=00000002
PC=0000001c, REG[ 4]=00000002
PC=00000020, REG[ 3]=00000003
PC=00000024, REG[ 4]=00000006
PC=00000028, REG[ 3]=00000001
PC=0000002c, REG[ 4]=00000001
PC=00000030, REG[ 3]=00000002
PC=00000034, REG[ 4]=00000002
PC=00000038, REG[ 3]=00000003
PC=0000003c, REG[ 4]=00000006
PC=00000040, REG[ 3]=00000004
PC=00000044, REG[ 4]=00000018
PC=00000048, REG[ 3]=00000001
PC=0000004c, REG[ 4]=00000001
PC=00000050, REG[ 3]=00000002
PC=00000054, REG[ 4]=00000002
PC=00000058, REG[ 3]=00000003
PC=0000005c, REG[ 4]=00000006
PC=00000060, REG[ 3]=00000004
PC=00000064, REG[ 4]=00000018
PC=00000068, REG[ 3]=00000005
PC=0000006c, REG[ 4]=00000078
PC=00000070, REG[ 3]=00000001
PC=00000074, REG[ 4]=00000001
PC=00000078, REG[ 3]=00000002
PC=0000007c, REG[ 4]=00000002
PC=00000080, REG[ 3]=00000003
PC=00000084, REG[ 4]=00000006
PC=00000088, REG[ 3]=00000004
PC=0000008c, REG[ 4]=00000018
PC=00000090, REG[ 3]=00000005
PC=00000094, REG[ 4]=00000078
PC=00000098, REG[ 3]=00000006
PC=0000009c, REG[ 4]=000002d0
PC=000000a0, REG[ 3]=00000001
PC=000000a4, REG[ 4]=00000001
PC=000000a8, REG[ 3]=00000002
PC=000000ac, REG[ 4]=00000002
PC=000000b0, REG[ 3]=00000003
PC=000000b4, REG[ 4]=00000006
PC=000000b8, REG[ 3]=00000004
PC=000000bc, REG[ 4]=00000018
PC=000000c0, REG[ 3]=00000005
PC=000000c4, REG[ 4]=00000078
PC=000000c8, REG[ 3]=00000006
PC=000000cc, REG[ 4]=000002d0
PC=000000d0, REG[ 3]=00000007
PC=000000d4, REG[ 4]=000013b0
PC=000000d8, REG[ 3]=00000001
PC=000000dc, REG[ 4]=00000001
PC=000000e0, REG[ 3]=00000002
PC=000000e4, REG[ 4]=00000002
PC=000000e8, REG[ 3]=00000003
PC=000000ec, REG[ 4]=00000006
PC=000000f0, REG[ 3]=00000004
PC=000000f4, REG[ 4]=00000018
