PC=00000000, REG[ 5]=00000001
PC=00000004, REG[ 6]=0000000c
PC=00000008, ---
PC=0000000c, REG[ 5]=00000002
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=00000003
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=00000004
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=00000005
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=00000006
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000006
PC=0000002c, REG[ 4]=000002d0
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=00000007
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000006
PC=0000002c, REG[ 4]=000002d0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000007
PC=0000002c, REG[ 4]=000013b0
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=00000008
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000006
PC=0000002c, REG[ 4]=000002d0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000007
PC=0000002c, REG[ 4]=000013b0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000008
PC=0000002c, REG[ 4]=00009d80
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=00000009
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000006
PC=0000002c, REG[ 4]=000002d0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000007
PC=0000002c, REG[ 4]=000013b0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000008
PC=0000002c, REG[ 4]=00009d80
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000009
PC=0000002c, REG[ 4]=00058980
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=0000000a
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000006
PC=0000002c, REG[ 4]=000002d0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000007
PC=0000002c, REG[ 4]=000013b0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000008
PC=0000002c, REG[ 4]=00009d80
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000009
PC=0000002c, REG[ 4]=00058980
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=0000000a
PC=0000002c, REG[ 4]=00375f00
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=0000000b
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000006
PC=0000002c, REG[ 4]=000002d0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000007
PC=0000002c, REG[ 4]=000013b0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000008
PC=0000002c, REG[ 4]=00009d80
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000009
PC=0000002c, REG[ 4]=00058980
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=0000000a
PC=0000002c, REG[ 4]=00375f00
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=0000000b
PC=0000002c, REG[ 4]=02611500
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=0000000c, REG[ 5]=0000000c
PC=00000010, REG[ 1]=00000014
PC=0000001c, REG[ 3]=00000001
PC=00000020, REG[ 4]=00000001
PC=00000024, ---
PC=00000028, REG[ 3]=00000002
PC=0000002c, REG[ 4]=00000002
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000003
PC=0000002c, REG[ 4]=00000006
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000004
PC=0000002c, REG[ 4]=00000018
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000005
PC=0000002c, REG[ 4]=00000078
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000006
PC=0000002c, REG[ 4]=000002d0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000007
PC=0000002c, REG[ 4]=000013b0
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000008
PC=0000002c, REG[ 4]=00009d80
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=00000009
PC=0000002c, REG[ 4]=00058980
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=0000000a
PC=0000002c, REG[ 4]=00375f00
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=0000000b
PC=0000002c, REG[ 4]=02611500
PC=00000030, ---
PC=00000024, ---
PC=00000028, REG[ 3]=0000000c
PC=0000002c, REG[ 4]=1c8cfc00
PC=00000030, ---
PC=00000024, ---
PC=00000034, ---
PC=00000014, ---
PC=00000008, ---
PC=00000018, ---
