PC=00000000, REG[ 5]=00000001
PC=00000004, REG[ 6]=00000015
PC=00000008, REG[ 2]=00000001
PC=0000000c, ---
PC=00000010, REG[ 3]=00000001
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000002
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000002
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000003
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000003
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000004
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000004
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000005
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000002
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000005
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000005
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000005
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000002
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000006
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000006
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000007
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000003
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000007
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000007
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000007
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000003
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000008
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000008
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000009
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000004
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000005
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000002
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=00000009
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=00000009
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=00000009
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000004
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000005
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000002
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=0000000a
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=0000000a
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=0000000b
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000005
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000005
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000002
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000003
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000001
PC=00000038, ---
PC=00000020, ---
PC=00000030, REG[ 1]=00000034
PC=00000018, REG[ 2]=0000000b
PC=0000001c, ---
PC=0000000c, ---
PC=00000010, REG[ 3]=0000000b
PC=00000014, REG[ 4]=00000018
PC=00000020, ---
PC=00000024, REG[ 1]=0000000b
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000005
PC=00000038, ---
PC=00000020, ---
PC=00000024, REG[ 1]=00000005
PC=00000028, ---
PC=0000002c, ---
PC=00000034, REG[ 3]=00000002
PC=00000038, ---
