Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Mar 13 19:03 2020
start
Time|reset|load_in|CDB_PRF_idx[1]|CDB_valid|opa_in|opa_valid_in|opb_in|opb_valid_in|inst_out_valid|opa_out[0]|opb_out[0]|num_is_free|is_free_hub|ready_hub
   0  x    x        xx         xxx   xxxxxxxx     x     xxxxxxxx     x           000    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx
  10  1    x        xx         xxx   xxxxxxxx     x     xxxxxxxx     x           000    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx
  15  1    x        xx         xxx   xxxxxxxx     x     xxxxxxxx     x           000    00000000   00000000     16    1111111111111111    0000000000000000
  20  0    x        xx         xxx   xxxxxxxx     x     xxxxxxxx     x           000    00000000   00000000     16    1111111111111111    0000000000000000
  40  0    1        xx         001   00000003     1     00000002     0           000    00000000   00000000     16    1111111111111111    0000000000000000
  45  0    1        xx         001   00000003     1     00000002     0           001    00000001   00000abc     13    0011111111111110    0000000000000001
  50  0    1        04         011   00000003     1     00000002     0           001    00000001   00000abc     13    0011111111111110    0000000000000001
  55  0    1        04         011   00000003     1     00000002     0           011    00000003   00000abc     14    0011111111111111    1100000000000000
start testing night ship
  60  0    1        3d         010   89375212     1     3b23f176     1           011    00000003   00000abc     14    0011111111111111    1100000000000000
  65  0    1        3d         010   89375212     1     3b23f176     1           111    b2c28465   06d7cd0d     13    1100111111111110    0011000000000001
  70  0    1        1c         010   793069f2     1     e2ca4ec5     1           111    b2c28465   06d7cd0d     13    1100111111111110    0011000000000001
  75  0    1        1c         010   793069f2     1     e2ca4ec5     1           111    47ecdb8f   f4007ae8     13    0011111111111101    1100000000000010
  80  0    1        15         010   8983b813     1     359fdd6b     1           111    47ecdb8f   f4007ae8     13    0011111111111101    1100000000000010
  85  0    1        15         010   8983b813     1     359fdd6b     1           111    cb203e96   a9a7d653     13    1100111111111110    0011000000000001
  90  0    1        2b         010   20c4b341     1     c48a1289     1           111    cb203e96   a9a7d653     13    1100111111111110    0011000000000001
  95  0    1        2b         010   20c4b341     1     c48a1289     1           111    452e618a   3c20f378     13    0011111111111101    1100000000000010
 100  0    1        19         010   1d06333a     1     78d99bf1     1           111    452e618a   3c20f378     13    0011111111111101    1100000000000010
 105  0    1        19         010   1d06333a     1     78d99bf1     1           111    9dcc603b   0aaa4b15     13    1100111111111110    0011000000000001
 110  0    1        16         010   a4ae3249     1     a8c7fc51     1           111    9dcc603b   0aaa4b15     13    1100111111111110    0011000000000001
 115  0    1        16         010   a4ae3249     1     a8c7fc51     1           111    44de3789   ebfec0d7     13    0011111111111101    1100000000000010
 120  0    1        09         010   e9ebf6d3     1     2dda595b     1           111    44de3789   ebfec0d7     13    0011111111111101    1100000000000010
 125  0    1        09         010   e9ebf6d3     1     2dda595b     1           111    0fd28f1f   bc148878     13    1100111111111110    0011000000000001
