Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Mar 15 15:50 2020
start
Time|reset|load_in|CDB_PRF_idx|CDB_valid|opa_in|opa_valid_in|opb_in|opb_valid_in|opa_out|opb_out|num_is_free|is_free_hub|ready_hub|reset_hub
   0  x    x      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    xxxxxxxx   xxxxxxxx      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     xxxxxxxxxxxxxxxx
  10  1    0      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     1111111111111111
  16  1    0      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    00000000   00000000     16    1111111111111111    0000000000000000     1111111111111111
  20  0    0      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    00000000   00000000     16    1111111111111111    0000000000000000     0000000000000000
  40  0    1      xx        001   00000003     1     00000002     0    00000000   00000000     16    1111111111111111    0000000000000000     0000000000000000
  46  0    1      xx        001   00000003     1     00000002     0    00000001   00000abc     13    0011111111111110    0000000000000001     0000000000000001
  50  0    1      04        011   00000003     1     00000002     0    00000001   00000abc     13    0011111111111110    0000000000000001     0000000000000001
  56  0    1      04        011   00000003     1     00000002     0    00000003   00000abc     14    0011111111111111    1100000000000000     1100000000000000
start testing night ship
  60  0    1      0d        010   c0895e81     1     06b97b0d     1    00000003   00000abc     14    0011111111111111    1100000000000000     1100000000000000
  66  0    1      0d        010   c0895e81     1     06b97b0d     1    12153524   b1f05663     13    0011111111111110    1100000000000001     1100000000000001
  70  0    1      39        010   3b23f176     1     462df78c     1    12153524   b1f05663     13    0011111111111110    1100000000000001     1100000000000001
  76  0    1      39        010   3b23f176     1     462df78c     1    06d7cd0d   76d457ed     13    0011111111111110    1100000000000001     1100000000000001
  80  0    1      0e        010   bbd27277     1     793069f2     1    06d7cd0d   76d457ed     13    0011111111111110    1100000000000001     1100000000000001
  86  0    1      0e        010   bbd27277     1     793069f2     1    72aff7e5   47ecdb8f     13    0011111111111110    1100000000000001     1100000000000001
  90  0    1      00        010   96ab582d     1     0573870a     1    72aff7e5   47ecdb8f     13    0011111111111110    1100000000000001     1100000000000001
  96  0    1      00        010   96ab582d     1     0573870a     1    de8e28bd   b1ef6263     13    0011111111111110    1100000000000001     1100000000000001
 100  0    1      15        010   8983b813     1     359fdd6b     1    de8e28bd   b1ef6263     13    0011111111111110    1100000000000001     1100000000000001
 106  0    1      15        010   8983b813     1     359fdd6b     1    cb203e96   a9a7d653     13    0011111111111110    1100000000000001     1100000000000001
 110  0    1      32        010   11844923     1     9e314c3c     1    cb203e96   a9a7d653     13    0011111111111110    1100000000000001     1100000000000001
 116  0    1      32        010   11844923     1     9e314c3c     1    e7c572cf   e5730aca     13    0011111111111110    1100000000000001     1100000000000001
 120  0    1      2e        010   c48a1289     1     634bf9c6     1    e7c572cf   e5730aca     13    0011111111111110    1100000000000001     1100000000000001
 126  0    1      2e        010   c48a1289     1     634bf9c6     1    3c20f378   5b0265b6     13    0011111111111110    1100000000000001     1100000000000001
 130  0    1      3e        010   42f24185     1     1d06333a     1    3c20f378   5b0265b6     13    0011111111111110    1100000000000001     1100000000000001
 136  0    1      3e        010   42f24185     1     1d06333a     1    b897be71   9dcc603b     13    0011111111111110    1100000000000001     1100000000000001
 140  0    1      37        010   2635fb4c     1     7c6da9f8     1    b897be71   9dcc603b     13    0011111111111110    1100000000000001     1100000000000001
 146  0    1      37        010   2635fb4c     1     7c6da9f8     1    31230762   47b9a18f     13    0011111111111110    1100000000000001     1100000000000001
 150  0    1      16        010   a4ae3249     1     a8c7fc51     1    31230762   47b9a18f     13    0011111111111110    1100000000000001     1100000000000001
 156  0    1      16        010   a4ae3249     1     a8c7fc51     1    44de3789   ebfec0d7     13    0011111111111110    1100000000000001     1100000000000001
 160  0    1      39        010   1ef2ed3d     1     36e5816d     1    44de3789   ebfec0d7     13    0011111111111110    1100000000000001     1100000000000001
 166  0    1      39        010   1ef2ed3d     1     36e5816d     1    bb825a77   bf05007e     13    0011111111111110    1100000000000001     1100000000000001
