PC=00000130, REG[ 6]=00000000
PC=00000134, REG[ 7]=00002000
PC=00000138, REG[ 7]=0000270f
PC=0000013c, REG[ 1]=00000008
PC=00000140, REG[ 2]=00000098
PC=00000144, REG[ 3]=00000003
PC=00000148, REG[ 3]=0000752d
PC=0000014c, REG[ 4]=00000001
PC=00000150, REG[ 3]=0000752e
PC=00000158, REG[ 1]=00000010
PC=0000015c, REG[ 2]=000000a0
PC=00000160, REG[ 6]=00000001
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000001
PC=00000148, REG[ 3]=0000270f
PC=0000014c, REG[ 4]=00000004
PC=00000150, REG[ 3]=00002713
PC=00000158, REG[ 1]=00000018
PC=0000015c, REG[ 2]=000000a8
PC=00000160, REG[ 6]=00000002
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000004
PC=00000148, REG[ 3]=00009c3c
PC=0000014c, REG[ 4]=00000001
PC=00000150, REG[ 3]=00009c3d
PC=00000158, REG[ 1]=00000020
PC=0000015c, REG[ 2]=000000b0
PC=00000160, REG[ 6]=00000003
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000001
PC=00000148, REG[ 3]=0000270f
PC=0000014c, REG[ 4]=00000004
PC=00000150, REG[ 3]=00002713
PC=00000158, REG[ 1]=00000028
PC=0000015c, REG[ 2]=000000b8
PC=00000160, REG[ 6]=00000004
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000005
PC=00000148, REG[ 3]=0000c34b
PC=0000014c, REG[ 4]=00000002
PC=00000150, REG[ 3]=0000c34d
PC=00000158, REG[ 1]=00000030
PC=0000015c, REG[ 2]=000000c0
PC=00000160, REG[ 6]=00000005
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000009
PC=00000148, REG[ 3]=00015f87
PC=0000014c, REG[ 4]=00000001
PC=00000150, REG[ 3]=00015f88
PC=00000158, REG[ 1]=00000038
PC=0000015c, REG[ 2]=000000c8
PC=00000160, REG[ 6]=00000006
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000002
PC=00000148, REG[ 3]=00004e1e
PC=0000014c, REG[ 4]=00000003
PC=00000150, REG[ 3]=00004e21
PC=00000158, REG[ 1]=00000040
PC=0000015c, REG[ 2]=000000d0
PC=00000160, REG[ 6]=00000007
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000006
PC=00000148, REG[ 3]=0000ea5a
PC=0000014c, REG[ 4]=00000005
PC=00000150, REG[ 3]=0000ea5f
PC=00000158, REG[ 1]=00000048
PC=0000015c, REG[ 2]=000000d8
PC=00000160, REG[ 6]=00000008
PC=00000164, REG[ 5]=00000001
PC=00000144, REG[ 3]=00000005
PC=00000148, REG[ 3]=0000c34b
PC=0000014c, REG[ 4]=00000006
PC=00000150, REG[ 3]=0000c351
PC=00000158, REG[ 1]=00000050
